,StaticClassifierStates,HmmStates,target
199,Lying,Lying,Lying
200,Lying,Lying,Lying
201,Lying,Lying,Lying
202,Lying,Lying,Lying
203,Lying,Lying,Lying
204,Lying,Lying,Lying
205,Lying,Lying,Lying
206,Lying,Lying,Lying
207,Lying,Lying,Lying
208,Lying,Lying,Lying
209,Lying,Lying,Lying
210,Lying,Lying,Lying
211,Lying,Lying,Lying
212,Lying,Lying,Lying
213,Lying,Lying,Lying
214,Lying,Lying,Lying
215,Lying,Lying,Lying
216,Lying,Lying,Lying
217,Lying,Lying,Lying
218,Lying,Lying,Lying
219,Lying,Lying,Lying
220,Lying,Lying,Lying
221,Lying,Lying,Lying
222,Lying,Lying,Lying
223,Lying,Lying,Lying
224,StairClimbing,StairClimbing,Lying
225,Standing,Standing,Standing
226,Standing,Standing,Standing
227,Standing,Standing,Standing
228,Standing,Standing,Standing
229,Standing,Standing,Standing
230,Standing,Standing,Standing
231,Standing,Standing,Standing
232,Standing,Standing,Standing
233,Standing,Standing,Standing
234,Standing,Standing,Standing
235,Standing,Standing,Standing
236,Standing,Standing,Standing
237,Standing,Standing,Standing
238,Standing,Standing,Standing
239,Standing,Standing,Standing
240,Standing,Standing,Standing
241,Standing,Standing,Standing
242,Walking,Walking,Walking
243,Walking,Walking,Walking
244,Walking,Walking,Walking
245,Walking,Walking,Walking
246,Walking,Walking,Walking
247,Walking,Walking,Walking
248,Walking,Walking,Walking
249,Walking,Walking,Walking
250,Walking,Walking,Walking
251,Walking,Walking,Walking
252,Walking,Walking,Walking
253,Walking,Walking,Walking
254,Walking,Walking,Walking
255,Walking,Walking,Walking
256,Walking,Walking,Walking
257,Walking,Walking,Walking
258,Walking,Walking,Walking
259,Walking,Walking,Walking
260,Walking,Walking,Walking
261,Walking,Walking,Walking
262,Walking,Walking,Walking
263,Walking,Walking,Walking
264,Walking,Walking,Walking
265,Walking,Walking,Walking
266,Walking,Walking,Walking
267,Standing,Standing,Standing
268,Sitting,Standing,Standing
269,Sitting,Sitting,Standing
270,Sitting,Sitting,Standing
271,Sitting,Sitting,Standing
272,Sitting,Sitting,Standing
273,Sitting,Sitting,Standing
274,Sitting,Sitting,Standing
275,Sitting,Sitting,Standing
276,Sitting,Sitting,Standing
277,Sitting,Sitting,Standing
278,Sitting,Sitting,Standing
279,Sitting,Sitting,Standing
280,Sitting,Sitting,Standing
281,Sitting,Sitting,Standing
282,Sitting,Sitting,Standing
283,Sitting,Sitting,Standing
284,Sitting,Sitting,Standing
285,Sitting,Sitting,Standing
286,Sitting,Sitting,Standing
287,Sitting,Sitting,Standing
288,Sitting,Sitting,Standing
289,Sitting,Sitting,Standing
290,Sitting,Sitting,Standing
291,Sitting,Sitting,Standing
292,Sitting,Sitting,Standing
293,Sitting,Sitting,Standing
294,Sitting,Sitting,Standing
295,Sitting,Sitting,Standing
296,Sitting,Sitting,Standing
297,Sitting,Sitting,Standing
298,Sitting,Sitting,Standing
299,Sitting,Sitting,Standing
300,Walking,Walking,Walking
301,Walking,Walking,Walking
302,Walking,Walking,Walking
303,Walking,Walking,Walking
304,Walking,Walking,Walking
305,Walking,Walking,Walking
306,Walking,Walking,Walking
307,Walking,Walking,Walking
308,Walking,Walking,Walking
309,Walking,Walking,Walking
310,Walking,Walking,Walking
311,Walking,Walking,Walking
312,Walking,Walking,Walking
313,Walking,Walking,Walking
314,Walking,Walking,Walking
315,Walking,Walking,Walking
316,Walking,Walking,Walking
317,Walking,Walking,Walking
318,Walking,Walking,Walking
319,Walking,Walking,Walking
320,Walking,Walking,Walking
321,Walking,Walking,Walking
322,Walking,Walking,Walking
323,Walking,Walking,Walking
